競走場,緯度,経度
桐生,36.39835499,139.3077163
戸田,35.80583034,139.6589174
江戸川,35.6933059,139.8615237
平和島,35.58590273,139.7394144
多摩川,35.65808847,139.4970169
浜名湖,34.70107447,137.5718202
蒲郡,34.82498531,137.204487
常滑,34.88604858,136.8339671
津,34.68282901,136.5219741
三国,36.23346745,136.1853054
びわこ,35.01872506,135.8613891
住之江,34.61073266,135.4713375
尼崎,34.71978391,135.393956
鳴門,34.19106711,134.6095183
丸亀,34.30491136,133.7951668
児島,34.44916314,133.8091989
宮島,34.31498584,132.3064898
徳山,34.01083786,131.8353802
下関,34.01919673,131.0041496
若松,33.88696588,130.7643668
芦屋,33.87420685,130.6646155
福岡,33.59934154,130.3969641
唐津,33.42475744,129.9952782
大村,32.89673515,129.9515101
